risk_budget,baseline,mean_utility_diff,ci95_utility_diff,wins_over_seeds,seeds
0.08000,bayesian_sensor_fusion_monitor,0.22933,0.00605,10,10
0.12000,bayesian_sensor_fusion_monitor,0.32090,0.01100,10,10
0.16000,bayesian_sensor_fusion_monitor,0.37713,0.01311,10,10
0.20000,bayesian_sensor_fusion_monitor,0.37784,0.01493,10,10
0.08000,causal_sensor_graph_monitor,0.22890,0.00928,10,10
0.12000,causal_sensor_graph_monitor,0.31930,0.01185,10,10
0.16000,causal_sensor_graph_monitor,0.36626,0.01824,10,10
0.20000,causal_sensor_graph_monitor,0.36553,0.01239,10,10
0.08000,conformal_sensor_reliability_filter,0.23029,0.00732,10,10
0.12000,conformal_sensor_reliability_filter,0.31484,0.01213,10,10
0.16000,conformal_sensor_reliability_filter,0.37362,0.01571,10,10
0.20000,conformal_sensor_reliability_filter,0.39531,0.01575,10,10
0.08000,ensemble_uncertainty_gating,0.23147,0.00834,10,10
0.12000,ensemble_uncertainty_gating,0.32277,0.01136,10,10
0.16000,ensemble_uncertainty_gating,0.39316,0.01522,10,10
0.20000,ensemble_uncertainty_gating,0.41496,0.00927,10,10
0.08000,independent_fault_detectors,0.23055,0.00886,10,10
0.12000,independent_fault_detectors,0.32205,0.01127,10,10
0.16000,independent_fault_detectors,0.39114,0.01530,10,10
0.20000,independent_fault_detectors,0.41293,0.01010,10,10
0.08000,multimodal_mixture_of_experts_router,0.22773,0.00672,10,10
0.12000,multimodal_mixture_of_experts_router,0.31790,0.01094,10,10
0.16000,multimodal_mixture_of_experts_router,0.37603,0.01574,10,10
0.20000,multimodal_mixture_of_experts_router,0.37870,0.01568,10,10
0.08000,oracle_failure_aware_policy,-0.36551,0.01926,0,10
0.12000,oracle_failure_aware_policy,-0.26312,0.01587,0,10
0.16000,oracle_failure_aware_policy,-0.20236,0.02351,0,10
0.20000,oracle_failure_aware_policy,-0.18137,0.02357,0,10
0.08000,proposed_sensor_failure_composition_v4,0.21106,0.00945,10,10
0.12000,proposed_sensor_failure_composition_v4,0.28020,0.01097,10,10
0.16000,proposed_sensor_failure_composition_v4,0.28908,0.01391,10,10
0.20000,proposed_sensor_failure_composition_v4,0.25856,0.01878,10,10
0.08000,risk_aware_sensor_reconfiguration,0.22069,0.00723,10,10
0.12000,risk_aware_sensor_reconfiguration,0.27587,0.00925,10,10
0.16000,risk_aware_sensor_reconfiguration,0.31616,0.01544,10,10
0.20000,risk_aware_sensor_reconfiguration,0.28349,0.01813,10,10
0.08000,robust_single_worst_sensor_policy,0.23255,0.00833,10,10
0.12000,robust_single_worst_sensor_policy,0.32295,0.01137,10,10
0.16000,robust_single_worst_sensor_policy,0.38663,0.01563,10,10
0.20000,robust_single_worst_sensor_policy,0.41158,0.01340,10,10
0.08000,sensor_dropout_transformer_policy,0.23091,0.00632,10,10
0.12000,sensor_dropout_transformer_policy,0.31984,0.01187,10,10
0.16000,sensor_dropout_transformer_policy,0.38900,0.01535,10,10
0.20000,sensor_dropout_transformer_policy,0.38480,0.01361,10,10
