comparison,baseline,mean_success_diff,ci95_success_diff,mean_utility_diff,ci95_utility_diff,wins_over_seeds,utility_wins_over_seeds,seeds,decision
risk_calibrated_sensor_composition_v5_vs_bayesian_sensor_fusion_monitor,bayesian_sensor_fusion_monitor,0.18585,0.01253,0.42574,0.01251,10,10,10,v5_better
risk_calibrated_sensor_composition_v5_vs_causal_sensor_graph_monitor,causal_sensor_graph_monitor,0.16563,0.01151,0.37944,0.01661,10,10,10,v5_better
risk_calibrated_sensor_composition_v5_vs_conformal_sensor_reliability_filter,conformal_sensor_reliability_filter,0.25321,0.01345,0.48598,0.01957,10,10,10,v5_better
risk_calibrated_sensor_composition_v5_vs_ensemble_uncertainty_gating,ensemble_uncertainty_gating,0.26823,0.01226,0.58625,0.01504,10,10,10,v5_better
risk_calibrated_sensor_composition_v5_vs_independent_fault_detectors,independent_fault_detectors,0.27891,0.01231,0.64433,0.01588,10,10,10,v5_better
risk_calibrated_sensor_composition_v5_vs_learned_latent_failure_classifier,learned_latent_failure_classifier,0.17448,0.01302,0.42659,0.01584,10,10,10,v5_better
risk_calibrated_sensor_composition_v5_vs_multimodal_mixture_of_experts_router,multimodal_mixture_of_experts_router,0.15790,0.01022,0.38265,0.01091,10,10,10,v5_better
risk_calibrated_sensor_composition_v5_vs_nominal_multimodal_policy,nominal_multimodal_policy,0.45069,0.01661,0.99965,0.02554,10,10,10,v5_better
risk_calibrated_sensor_composition_v5_vs_oracle_failure_aware_policy,oracle_failure_aware_policy,-0.09010,0.01241,-0.15225,0.01253,0,0,10,not_decisive
risk_calibrated_sensor_composition_v5_vs_proposed_sensor_failure_composition_v4,proposed_sensor_failure_composition_v4,0.09314,0.01024,0.21822,0.01077,10,10,10,v5_better
risk_calibrated_sensor_composition_v5_vs_risk_aware_sensor_reconfiguration,risk_aware_sensor_reconfiguration,0.13880,0.01419,0.29231,0.01509,10,10,10,v5_better
risk_calibrated_sensor_composition_v5_vs_robust_single_worst_sensor_policy,robust_single_worst_sensor_policy,0.26363,0.01322,0.54179,0.01769,10,10,10,v5_better
risk_calibrated_sensor_composition_v5_vs_sensor_dropout_augmentation,sensor_dropout_augmentation,0.34410,0.00975,0.79761,0.02336,10,10,10,v5_better
risk_calibrated_sensor_composition_v5_vs_sensor_dropout_transformer_policy,sensor_dropout_transformer_policy,0.20260,0.01458,0.46823,0.01541,10,10,10,v5_better
